NAME                    VERSION                TYPE   
CacheControl            0.14.0                 python  
Flask                   1.1.4                  python  
Jinja2                  2.11.3                 python  
MarkupSafe              2.0.1                  python  
SecretStorage           3.3.3                  python  
Werkzeug                1.0.1                  python  
adduser                 3.134                  deb     
apt                     2.6.1                  deb     
argcomplete             2.0.0                  python  
autocommand             2.2.2                  python  
backports.tarfile       1.2.0                  python  
base-files              12.4+deb12u7           deb     
base-passwd             3.6.1                  deb     
bash                    5.2.15-2+b7            deb     
bsdutils                1:2.38.1-5+deb12u1     deb     
build                   1.2.2                  python  
ca-certificates         20230311               deb     
certifi                 2024.8.30              python  
cffi                    1.17.1                 python  
charset-normalizer      3.3.2                  python  
cleo                    2.1.0                  python  
click                   7.1.2                  python  
click                   8.1.3                  python  
colorama                0.4.6                  python  
coreutils               9.1-1                  deb     
crashtest               0.4.1                  python  
cryptography            43.0.1                 python  
dash                    0.5.12-2               deb     
debconf                 1.5.82                 deb     
debian-archive-keyring  2023.3+deb12u1         deb     
debianutils             5.7-0.5~deb12u1        deb     
diffutils               1:3.8-4                deb     
distlib                 0.3.8                  python  
dpkg                    1.21.22                deb     
dulwich                 0.21.7                 python  
e2fsprogs               1.47.0-2               deb     
fastjsonschema          2.20.0                 python  
filelock                3.16.0                 python  
findutils               4.9.0-4                deb     
gcc-12-base             12.2.0-14              deb     
gpgv                    2.2.40-1.1             deb     
grep                    3.8-5                  deb     
gzip                    1.12-1                 deb     
hostname                3.23+nmu1              deb     
idna                    3.8                    python  
importlib_metadata      8.0.0                  python  
importlib_metadata      8.4.0                  python  
importlib_resources     6.4.0                  python  
inflect                 7.3.1                  python  
init-system-helpers     1.65.2                 deb     
installer               0.7.0                  python  
itsdangerous            1.1.0                  python  
jaraco.classes          3.4.0                  python  
jaraco.context          5.3.0                  python  
jaraco.functools        4.0.1                  python  
jaraco.text             3.12.1                 python  
jeepney                 0.8.0                  python  
keyring                 24.3.1                 python  
libacl1                 2.3.1-3                deb     
libapt-pkg6.0           2.6.1                  deb     
libattr1                1:2.5.1-4              deb     
libaudit-common         1:3.0.9-1              deb     
libaudit1               1:3.0.9-1              deb     
libblkid1               2.38.1-5+deb12u1       deb     
libbz2-1.0              1.0.8-5+b1             deb     
libc-bin                2.36-9+deb12u8         deb     
libc6                   2.36-9+deb12u8         deb     
libcap-ng0              0.8.3-1+b3             deb     
libcap2                 1:2.66-4               deb     
libcom-err2             1.47.0-2               deb     
